id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,city
47966322,378270433,District 2,32.85029,-96.82682,Entire Home/Apt,491.0,1,54,0.84,5,203,Dallas
47994163,386021104,District 14,32.82198,-96.76712,Entire Home/Apt,203.0,1,195,3.02,7,351,Dallas
48071184,138992147,District 14,32.82497,-96.76802,Entire Home/Apt,519.0,5,10,0.22,1,177,Dallas
48076292,109496213,District 1,32.74932,-96.82808,Entire Home/Apt,209.0,1,465,7.31,10,354,Dallas
48081401,146283587,District 7,32.78056,-96.746,Entire Home/Apt,193.0,1,423,6.61,1,269,Dallas
48090747,67147684,District 2,32.82513,-96.828545,Entire Home/Apt,367.0,1,89,1.73,1,196,Dallas
48156311,53072315,District 1,32.74965,-96.8359,Entire Home/Apt,271.0,2,198,3.35,2,13,Dallas
48232895,24662525,District 2,32.81626,-96.77308,Entire Home/Apt,377.0,1,229,3.97,2,238,Dallas
48282023,128301317,District 6,32.78464,-96.85094,Entire Home/Apt,414.0,1,193,3.03,6,354,Dallas
48288270,10901678,District 2,32.80646,-96.77957,Entire Home/Apt,218.0,1,140,2.2,26,332,Dallas
48334823,181794187,District 2,32.77769,-96.79596,Entire Home/Apt,289.0,1,188,2.97,13,346,Dallas
48367394,346609412,District 2,32.78504,-96.75895,Entire Home/Apt,373.0,1,272,4.29,4,355,Dallas
48394200,386021104,District 14,32.82172,-96.76881,Entire Home/Apt,102.0,1,121,1.9,7,341,Dallas
48450360,386021104,District 14,32.8222,-96.76712,Entire Home/Apt,101.0,1,203,3.19,7,356,Dallas
48464521,119531958,District 14,32.82405,-96.78446,Entire Home/Apt,306.0,1,171,2.69,7,32,Dallas
48466635,109496213,District 1,32.74774,-96.82917,Entire Home/Apt,170.0,1,489,7.69,10,357,Dallas
48558642,378270433,District 2,32.82084,-96.82341,Entire Home/Apt,113.0,30,40,0.63,5,196,Dallas
48584135,386021104,District 14,32.82219,-96.76892,Entire Home/Apt,102.0,1,117,1.85,7,334,Dallas
48602991,389385913,District 14,32.794907,-96.798744,Entire Home/Apt,678.0,2,132,2.09,10,16,Dallas
48612724,119531958,District 14,32.82514,-96.78457,Entire Home/Apt,214.0,1,111,1.75,7,41,Dallas
48613275,192264913,District 9,32.82226,-96.68139,Entire Home/Apt,359.0,2,107,1.7,3,352,Dallas
48627776,121544944,District 4,32.72784,-96.81983,Entire Home/Apt,388.0,3,134,2.12,3,362,Dallas
48718509,52127894,District 12,33.00127,-96.80374,Entire Home/Apt,115.0,5,21,0.33,15,180,Dallas
48750747,9124824,District 2,32.81231,-96.8162,Entire Home/Apt,149.0,30,9,0.16,15,257,Dallas
48776444,372592509,District 14,32.78165435791016,-96.79883575439452,Entire Home/Apt,198.0,1,75,1.21,9,334,Dallas
48776487,372592509,District 14,32.78165435791016,-96.79883575439452,Entire Home/Apt,224.0,1,52,0.83,9,354,Dallas
48812503,391994705,District 14,32.79155,-96.79212,Entire Home/Apt,246.0,2,34,0.55,3,233,Dallas
48824168,47055693,District 14,32.81914,-96.76709,Entire Home/Apt,168.0,1,135,2.16,15,294,Dallas
48827569,47055693,District 14,32.81925,-96.76723,Entire Home/Apt,136.0,1,144,2.31,15,290,Dallas
48827761,47055693,District 14,32.81921,-96.76641,Entire Home/Apt,224.0,1,220,3.51,15,280,Dallas
48828049,47055693,District 14,32.81901,-96.76711,Entire Home/Apt,173.0,1,163,2.6,15,301,Dallas
48828270,47055693,District 14,32.81949,-96.76503,Entire Home/Apt,140.0,2,110,1.77,15,300,Dallas
48865512,247532731,District 11,32.95511,-96.80106,Entire Home/Apt,246.0,1,114,1.85,4,180,Dallas
48883881,47055693,District 14,32.821,-96.76548,Entire Home/Apt,935.0,3,9,0.15,15,89,Dallas
48916933,394555717,District 1,32.74646,-96.83449,Entire Home/Apt,353.0,1,254,4.06,1,184,Dallas
48937183,9124824,District 2,32.81232,-96.81623,Entire Home/Apt,103.0,30,14,0.23,15,284,Dallas
48959599,394876715,District 14,32.78112,-96.79293,Private Room,118.0,1,0,0.0,1,365,Dallas
49004094,41414696,District 12,33.0,-96.7884,Entire Home/Apt,424.0,30,2,0.04,2,195,Dallas
49083334,35493459,District 7,32.78189,-96.7094,Entire Home/Apt,388.0,5,20,0.33,4,45,Dallas
49115092,122416966,District 10,32.92043,-96.71995,Entire Home/Apt,1019.0,2,120,2.47,3,355,Dallas
49125564,62395523,District 13,32.87851,-96.79192,Entire Home/Apt,666.0,2,62,1.0,6,346,Dallas
49128327,52127894,District 11,32.93688,-96.80797,Entire Home/Apt,148.0,5,20,0.35,15,219,Dallas
49153543,23916014,District 2,32.79855183493344,-96.77435515762762,Entire Home/Apt,208.0,4,1,0.03,91,206,Dallas
49180093,396704930,District 1,32.746235,-96.829903,Entire Home/Apt,254.0,2,105,1.71,1,331,Dallas
49280177,372592509,District 14,32.78165610000001,-96.7988344,Entire Home/Apt,336.0,1,59,0.98,9,332,Dallas
49325035,397915606,District 2,32.83673,-96.83089,Private Room,85.0,1,80,1.3,2,254,Dallas
49357319,23916014,District 2,32.79814,-96.77653,Entire Home/Apt,215.0,4,11,0.18,91,330,Dallas
49385622,395691209,District 7,32.75414,-96.76827,Private Room,55.0,28,18,0.3,2,89,Dallas
49407990,232563786,District 14,32.7961,-96.79506,Entire Home/Apt,166.0,30,0,0.0,1,270,Dallas
49416885,233346541,District 4,32.74676,-96.7964,Private Room,115.0,1,106,1.73,2,170,Dallas
49438465,57933646,District 2,32.79732,-96.76946,Entire Home/Apt,101.0,1,204,3.3,17,353,Dallas
49464189,386021104,District 14,32.82232,-96.76717,Entire Home/Apt,203.0,1,137,2.22,7,357,Dallas
49512939,57933646,District 2,32.79592,-96.76837,Entire Home/Apt,159.0,1,248,4.05,17,356,Dallas
49515998,233346541,District 4,32.74682,-96.79752,Private Room,101.0,1,138,2.25,2,172,Dallas
49567829,17368128,District 14,32.81944,-96.79448,Entire Home/Apt,201.0,3,15,0.25,1,248,Dallas
49592915,389385913,District 13,32.917,-96.840233,Entire Home/Apt,1173.0,2,113,1.86,10,355,Dallas
49625308,26669452,District 2,32.80811,-96.78322,Entire Home/Apt,1007.0,7,0,0.0,4,365,Dallas
49639823,181794187,District 2,32.77769,-96.79596,Entire Home/Apt,225.0,1,177,2.91,13,363,Dallas
49667012,193238025,District 6,32.76931,-96.84256,Entire Home/Apt,276.0,1,119,2.33,1,236,Dallas
49676477,400657860,District 10,32.9014,-96.7543,Entire Home/Apt,297.0,2,56,0.96,1,302,Dallas
49692108,400797197,District 8,32.66334,-96.79566,Entire Home/Apt,410.0,1,32,0.53,4,333,Dallas
49694843,234431071,District 12,32.995121,-96.861778,Entire Home/Apt,348.0,1,430,7.13,1,234,Dallas
49729613,11450240,District 2,32.79382,-96.76373,Entire Home/Apt,411.0,1,164,2.71,1,77,Dallas
49736976,55186447,District 10,32.87073,-96.68467,Entire Home/Apt,163.0,30,34,0.84,1,80,Dallas
49780433,334148562,District 4,32.74184,-96.80354,Entire Home/Apt,243.0,3,199,3.3,1,54,Dallas
49808015,356896257,District 1,32.72842,-96.84639,Entire Home/Apt,441.0,2,57,0.95,9,345,Dallas
49810647,394457884,District 6,32.7690132198476,-96.83422227375604,Entire Home/Apt,286.0,1,0,0.0,1,170,Dallas
49857294,26438693,District 11,32.93454,-96.80476,Entire Home/Apt,81.0,29,2,0.04,14,105,Dallas
49897217,391994705,District 14,32.79153,-96.79177,Entire Home/Apt,128.0,28,29,0.49,3,284,Dallas
49924139,10901678,District 2,32.80479537672491,-96.77998765631683,Entire Home/Apt,134.0,1,228,3.75,26,346,Dallas
